"# NZU (New Zealand Unit) emission unit prices 2015 to 2016 in $NZD",,,
"# obtained from",,,
"# http://www.carbonforestservices.co.nz/carbon-prices.html",,,
"# http://www.carbonforestservices.co.nz/nzueru-chart.html",,,
"# https://www.commtrade.co.nz/",,,
"# http://carbon-pulse.com/category/new-zealand/",,,
date,price,monthprice,Source
2016/01/11,9.75,NA,
2016/01/13,9.7,NA,
2016/01/14,9.7,NA,
2016/01/15,9.73,NA,http://www.carbonnews.co.nz/story.asp?storyID=9354
2016/01/16,,NA,
2016/01/17,,NA,
2016/01/18,,NA,
2016/01/19,9.65,NA,
2016/01/20,9.6,NA,
2016/01/21,9.6,NA,http://www.carbonnews.co.nz/story.asp?storyID=9357
2016/01/22,9.6,NA,
2016/01/23,,NA,
2016/01/24,,NA,
2016/01/25,9.6,NA,http://www.carbonnews.co.nz/story.asp?storyID=9375
2016/01/26,9.55,NA,
2016/01/27,9.6,NA,
2016/01/28,9.5,NA,http://www.carbonnews.co.nz/story.asp?storyID=9378
2016/01/29,9.5,NA,
2016/01/30,,NA,
2016/01/31,9.62,9.621538461538462,
2016/02/01,9.5,NA,http://www.carbonnews.co.nz/story.asp?storyID=9389
2016/02/02,,NA,
2016/02/03,9.45,NA,
2016/02/04,,NA,
2016/02/05,9.47,NA,
2016/02/06,,NA,
2016/02/07,,NA,
2016/02/08,9.47,NA,http://www.carbonnews.co.nz/story.asp?storyID=9412
2016/02/09,9.3,NA,
2016/02/10,9.3,NA,
2016/02/11,,NA,
2016/02/12,9.27,NA,http://www.carbonnews.co.nz/story.asp?storyID=9442
2016/02/13,,NA,
2016/02/14,,NA,
2016/02/15,,NA,
2016/02/16,,NA,
2016/02/17,9.15,NA,
2016/02/18,9.2,NA,http://www.carbonnews.co.nz/story.asp?storyID=9450
2016/02/19,9.25,NA,
2016/02/20,,NA,
2016/02/21,,NA,
2016/02/22,,NA,
2016/02/23,9.3,NA,
2016/02/24,,NA,
2016/02/25,9.4,NA,http://www.carbonnews.co.nz/story.asp?storyID=9526
2016/02/26,9.5,NA,
2016/02/27,,NA,
2016/02/28,,NA,
2016/02/29,9.5,9.361428571428572,http://www.carbonnews.co.nz/story.asp?storyID=9539
2016/03/01,9.7,NA,http://www.carbonnews.co.nz/story.asp?storyID=10590
2016/03/02,,NA,
2016/03/03,10,NA,http://www.carbonnews.co.nz/story.asp?storyID=9576
2016/03/04,,NA,
2016/03/05,,NA,
2016/03/06,,NA,
2016/03/07,10,NA,http://www.carbonnews.co.nz/story.asp?storyID=9609
2016/03/08,,NA,
2016/03/09,10.35,NA,http://www.carbonnews.co.nz/story.asp?storyID=9621
2016/03/10,,NA,
2016/03/11,10.5,NA,http://www.carbonnews.co.nz/story.asp?storyID=9644
2016/03/12,,NA,
2016/03/13,,NA,
2016/03/14,10.6,NA,http://www.carbonnews.co.nz/story.asp?storyID=9656
2016/03/15,,NA,
2016/03/16,,NA,
2016/03/17,11,NA,http://www.carbonnews.co.nz/story.asp?storyID=9693
2016/03/18,,NA,
2016/03/19,,NA,
2016/03/20,,NA,
2016/03/21,11.07,NA,http://www.carbonnews.co.nz/story.asp?storyID=9710
2016/03/22,11.05,NA,http://www.carbonnews.co.nz/story.asp?storyID=9721
2016/03/23,,NA,
2016/03/24,11.05,NA,http://www.carbonnews.co.nz/story.asp?storyID=9740
2016/03/25,,NA,
2016/03/26,,NA,
2016/03/27,,NA,
2016/03/28,,NA,
2016/03/29,,NA,
2016/03/30,11.05,NA,http://www.carbonnews.co.nz/story.asp?storyID=9773
2016/03/31,11.15,10.626666666666667,http://www.carbonnews.co.nz/story.asp?storyID=9783
2016/04/01,,NA,
2016/04/02,,NA,
2016/04/03,,NA,
2016/04/04,11.15,NA,http://www.carbonnews.co.nz/story.asp?storyID=9795
2016/04/05,11.6,NA,http://www.carbonnews.co.nz/story.asp?storyID=9819
2016/04/06,,NA,
2016/04/07,11.85,NA,http://www.carbonnews.co.nz/story.asp?storyID=9833
2016/04/08,12,NA,http://www.carbonnews.co.nz/story.asp?storyID=9840
2016/04/09,,NA,
2016/04/10,,NA,
2016/04/11,,NA,
2016/04/12,12.65,NA,http://www.carbonnews.co.nz/story.asp?storyID=9864
2016/04/13,,NA,
2016/04/14,13.5,NA,http://www.carbonnews.co.nz/story.asp?storyID=9882
2016/04/15,13.55,NA,http://www.carbonnews.co.nz/story.asp?storyID=9895
2016/04/16,,NA,
2016/04/17,,NA,
2016/04/18,13.45,NA,http://www.carbonnews.co.nz/story.asp?storyID=9905
2016/04/19,,NA,
2016/04/20,,NA,
