"date","price","reference","month","week"
2010-05-14,17.75,"http://www.carbonnews.co.nz/story.asp?storyID=4529","2010-05","2010-W19"
2010-05-21,17.5,"http://www.carbonnews.co.nz/story.asp?storyID=4540","2010-05","2010-W20"
2010-05-29,17.5,"http://www.carbonnews.co.nz/story.asp?storyID=4540","2010-05","2010-W21"
2010-06-11,17,"http://www.carbonnews.co.nz/story.asp?storyID=4588","2010-06","2010-W23"
2010-06-25,17.75,"http://www.carbonnews.co.nz/story.asp?storyID=4623","2010-06","2010-W25"
2010-06-30,17.5,"http://www.carbonnews.co.nz/story.asp?storyID=4573","2010-06","2010-W26"
2010-07-09,18,"http://www.carbonnews.co.nz/story.asp?storyID=4658","2010-07","2010-W27"
2010-07-16,18.3,"http://www.carbonnews.co.nz/story.asp?storyID=4675","2010-07","2010-W28"
2010-08-13,18.35,"http://www.carbonnews.co.nz/story.asp?storyID=4749","2010-08","2010-W32"
2010-08-16,18.45,"http://www.bloomberg.com/news/articles/2010-08-18/carbon-cash-accelerates-cull-of-new-zealand-sheep-as-farmers-turn-to-trees","2010-08","2010-W33"
2010-08-20,18.25,"http://www.carbonnews.co.nz/story.asp?storyID=4764","2010-08","2010-W33"
2010-09-10,19.8,"http://www.carbonnews.co.nz/story.asp?storyID=4812","2010-09","2010-W36"
2010-09-17,20.35,"http://www.eco-business.com/news/carbon-credits-gain-28-week-short-supply-broker-sa/","2010-09","2010-W37"
2010-09-17,20.5,"http://www.carbonnews.co.nz/story.asp?storyID=4821","2010-09","2010-W37"
2010-09-24,20,"http://www.carbonnews.co.nz/story.asp?storyID=4840","2010-09","2010-W38"
2010-10-01,19,"http://www.carbonnews.co.nz/story.asp?storyID=4856","2010-10","2010-W39"
2010-10-01,19.75,"http://www.eco-business.com/news/new-zealand-carbon-credit-price-falls-after-low-su/","2010-10","2010-W39"
2010-10-08,19,"http://www.carbonnews.co.nz/story.asp?storyID=4876","2010-10","2010-W40"
2010-10-15,19,"http://www.carbonnews.co.nz/story.asp?storyID=4890","2010-10","2010-W41"
2010-10-22,22.05,"http://www.carbonnews.co.nz/story.asp?storyID=4911","2010-10","2010-W42"
2010-10-29,20,"http://www.carbonnews.co.nz/story.asp?storyID=4926","2010-10","2010-W43"
2010-11-12,20.42,"http://www.carbonnews.co.nz/story.asp?storyID=4968","2010-11","2010-W45"
2010-11-26,20.8,"http://www.carbonnews.co.nz/story.asp?storyID=5009","2010-11","2010-W47"
2010-12-03,20.88,"http://www.carbonnews.co.nz/story.asp?storyID=5042","2010-12","2010-W48"
2010-12-10,20.38,"http://www.carbonnews.co.nz/story.asp?storyID=5063","2010-12","2010-W49"
2010-12-17,20,"http://www.carbonnews.co.nz/story.asp?storyID=5092","2010-12","2010-W50"
2011-01-21,19.1,"http://www.carbonnews.co.nz/story.asp?storyID=5111","2011-01","2011-W03"
2011-01-29,19.3,"http://www.bloomberg.com/news/articles/2011-02-04/new-zealand-carbon-credit-spot-prices-gained-0-8-amid-low-trade-volumes","2011-01","2011-W04"
2011-02-04,19.25,"http://www.carbonnews.co.nz/story.asp?storyID=5139","2011-02","2011-W05"
2011-02-11,19.2,"http://af.reuters.com/article/idAFL3E7DB03520110211","2011-02","2011-W06"
2011-02-18,19.25,"http://www.carbonnews.co.nz/story.asp?storyID=5170","2011-02","2011-W07"
2011-02-25,19.6,"http://www.carbonnews.co.nz/story.asp?storyID=5186","2011-02","2011-W08"
2011-03-04,19.6,"http://www.bloomberg.com/news/articles/2011-03-11/new-zealand-carbon-emission-credits-gain-as-weak-currency-increases-demand","2011-03","2011-W09"
2011-03-11,20.3,"http://www.carbonnews.co.nz/story.asp?storyID=5213","2011-03","2011-W10"
2011-03-18,20.8,"http://www.webcitation.org/6BN7me9fi","2011-03","2011-W11"
2011-03-25,20.5,"http://www.carbonnews.co.nz/story.asp?storyID=5256","2011-03","2011-W12"
2011-03-31,20.2,"http://www.carbonnews.co.nz/story.asp?storyID=5271","2011-03","2011-W13"
2011-04-08,20.22,"http://www.carbonnews.co.nz/story.asp?storyID=5289","2011-04","2011-W14"
2011-04-30,20.1,"http://www.carbonnews.co.nz/story.asp?storyID=5336","2011-04","2011-W17"
2011-05-27,19.7,"http://uk.reuters.com/article/newzealand-carbon-idUKL3E7GR08P20110527","2011-05","2011-W21"
2011-05-27,19.99,"http://www.eco-business.com/news/new-zealand-spot-carbon-price-slumps-to-three-month-low/","2011-05","2011-W21"
2011-06-10,19.75,"http://www.carbonnews.co.nz/story.asp?storyID=5427","2011-06","2011-W23"
2011-06-17,19.3,"http://www.carbonnews.co.nz/story.asp?storyID=5444","2011-06","2011-W24"
2011-06-24,18,"http://www.carbonnews.co.nz/story.asp?storyID=5487","2011-06","2011-W25"
2011-06-30,18,"http://www.carbonnews.co.nz/story.asp?storyID=5468","2011-06","2011-W26"
2011-07-08,18,"http://www.carbonnews.co.nz/story.asp?storyID=5488","2011-07","2011-W27"
2011-07-15,17.25,"http://www.carbonnews.co.nz/story.asp?storyID=5501","2011-07","2011-W28"
2011-07-21,16.3,"http://www.carbonnews.co.nz/story.asp?storyID=5512","2011-07","2011-W29"
2011-07-29,15.8,"http://www.carbonnews.co.nz/story.asp?storyID=5524","2011-07","2011-W30"
2011-08-05,13.8,"http://www.carbonnews.co.nz/story.asp?storyID=5545","2011-08","2011-W31"
2011-08-14,14,"http://www.carbonnews.co.nz/story.asp?storyID=5560","2011-08","2011-W32"
2011-08-19,15,"http://www.carbonnews.co.nz/story.asp?storyID=5574","2011-08","2011-W33"
2011-08-26,16.35,"http://www.carbonnews.co.nz/story.asp?storyID=5582","2011-08","2011-W34"
2011-09-02,15.5,"http://www.carbonnews.co.nz/story.asp?storyID=5594","2011-09","2011-W35"
2011-09-09,15,"http://www.carbonnews.co.nz/story.asp?storyID=5611","2011-09","2011-W36"
2011-09-16,15,"http://www.carbonnews.co.nz/story.asp?storyID=5626","2011-09","2011-W37"
2011-09-23,14.73,"http://www.carbonnews.co.nz/story.asp?storyID=5638","2011-09","2011-W38"
2011-09-30,14.3,"http://www.carbonnews.co.nz/story.asp?storyID=5654","2011-09","2011-W39"
2011-10-28,13.5,"http://www.carbonnews.co.nz/story.asp?storyID=5705","2011-10","2011-W43"
2011-10-31,13.86,"chart digitized","2011-10","2011-W44"
2011-11-04,12.45,"http://www.carbonnews.co.nz/story.asp?storyID=5721","2011-11","2011-W44"
2011-11-11,13,"http://www.carbonnews.co.nz/story.asp?storyID=5741","2011-11","2011-W45"
2011-11-18,13,"http://www.carbonnews.co.nz/story.asp?storyID=5756","2011-11","2011-W46"
2011-11-25,12.1,"http://www.carbonnews.co.nz/story.asp?storyID=5765","2011-11","2011-W47"
2011-11-30,13.5,"http://www.carbonnews.co.nz/story.asp?storyID=5705","2011-11","2011-W48"
