"month","price"
2010-05-15,17.58
2010-06-15,17.42
2010-07-15,18.15
2010-08-15,18.35
2010-09-15,20.1
2010-10-15,19.81
2010-11-15,20.61
2010-12-15,20.42
2011-01-15,19.2
2011-02-15,19.32
2011-03-15,20.15
2011-04-15,20.16
2011-05-15,19.77
2011-06-15,18.76
2011-07-15,16.84
2011-08-15,14.79
2011-09-15,14.91
2011-10-15,13.12
2011-11-15,12.68
2011-12-15,9.95
2012-01-15,7
2012-02-15,7.95
2012-03-15,7.62
2012-04-15,7.41
2012-05-15,6.05
2012-06-15,6.78
2012-07-15,6.22
2012-08-15,4.95
2012-09-15,4.02
2012-10-15,3
2012-11-15,2.67
2012-12-15,2.5
2013-01-15,2.35
2013-02-15,2.17
2013-03-15,1.85
2013-04-15,2.01
2013-05-15,1.94
2013-06-15,1.89
2013-07-15,2
2013-08-15,3.38
2013-09-15,4.31
2013-10-15,3.9
2013-11-15,3.19
2013-12-15,3.62
2014-01-15,3.21
2014-02-15,3.24
2014-03-15,3.07
2014-04-15,3.06
2014-05-15,4.08
2014-06-15,4.54
2014-07-15,4.06
2014-08-15,3.88
2014-09-15,4.4
2014-10-15,4.36
2014-11-15,4.39
2014-12-15,5.05
2015-01-15,5.98
2015-02-15,5.7
2015-03-15,6.43
2015-04-15,6.4
2015-05-15,5.34
2015-06-15,5.35
2015-07-15,6.92
2015-08-15,6.87
2015-09-15,6.69
2015-10-15,6.93
2015-11-15,7.7
2015-12-15,8.95
2016-01-15,9.58
2016-02-15,9.36
2016-03-15,10.79
2016-04-15,12.65
2016-05-15,14.54
2016-06-15,17.25
2016-07-15,17.98
2016-08-15,17.94
2016-09-15,18.82
2016-10-15,18.74
2016-11-15,18.38
