"date","price"
2010-05-14,17.75
2010-05-21,17.5
2010-05-29,17.5
2010-06-11,17
2010-06-25,17.75
2010-06-30,17.5
2010-07-09,18
2010-07-16,18.3
2010-08-13,18.35
2010-08-16,18.45
2010-08-20,18.25
2010-09-10,19.8
2010-09-17,20.5
2010-09-24,20
2010-10-01,19.75
2010-10-08,19
2010-10-15,19
2010-10-22,22.05
2010-10-29,20
2010-11-12,20.42
2010-11-26,20.8
2010-12-03,20.88
2010-12-10,20.38
2010-12-17,20
2011-01-21,19.1
2011-01-29,19.3
2011-02-04,19.25
2011-02-11,19.2
2011-02-18,19.25
2011-02-25,19.6
2011-03-04,19.6
2011-03-11,20.3
2011-03-18,20.8
2011-03-25,20.5
2011-03-31,20.2
2011-04-08,20.22
2011-04-30,20.1
2011-05-27,19.99
2011-06-10,19.75
2011-06-17,19.3
2011-06-24,18
2011-06-30,18
2011-07-08,18
2011-07-15,17.25
2011-07-21,16.3
2011-07-29,15.8
2011-08-05,13.8
2011-08-14,14
2011-08-19,15
2011-08-26,16.35
2011-09-02,15.5
2011-09-09,15
2011-09-16,15
2011-09-23,14.73
2011-09-30,14.3
2011-10-28,13.5
2011-10-31,13.86
2011-11-04,12.45
2011-11-11,13
2011-11-18,13
2011-11-25,12.1
2011-11-30,13.5
2011-12-02,11
2011-12-04,11
2011-12-09,9.5
2011-12-16,8.3
2012-01-19,7
2012-01-20,7
2012-02-03,7.65
2012-02-10,7.65
2012-02-16,7.95
2012-02-17,7.95
2012-02-18,8
2012-02-28,8.5
2012-03-01,7.95
2012-03-09,7.9
2012-03-16,7.4
2012-03-23,7.85
2012-03-30,7.6
2012-03-31,7
2012-04-15,7.41
2012-04-20,7.5
2012-05-04,6.6
2012-05-11,6.2
2012-05-31,5.9
2012-06-21,6.6
2012-06-28,6.95
2012-07-02,6.95
2012-07-03,6.95
2012-07-12,6.3
2012-07-13,6.1
2012-07-27,4.9
2012-08-03,4.9
2012-08-10,5
2012-09-06,4.85
2012-09-07,4.65
2012-09-14,3.6
2012-09-17,4.2
2012-09-21,3.1
2012-09-28,3.7
2012-10-05,3.45
2012-10-12,3.2
2012-10-19,2.85
2012-10-25,3
2012-10-26,2.5
2012-11-02,2.8
2012-11-09,2.65
2012-11-23,2.75
2012-12-07,2.5
2013-01-11,2.35
2013-01-18,2.4
2013-01-25,2.3
2013-02-01,2.35
2013-02-03,2.5
2013-02-08,2.25
2013-02-22,1.6
2013-03-01,1.65
2013-03-08,1.9
2013-03-15,1.8
2013-03-28,1.9
2013-03-29,2
2013-04-05,1.9
2013-04-12,2.05
2013-04-19,2.1
2013-04-26,2
2013-05-03,1.85
2013-05-10,1.97
2013-05-17,1.95
2013-05-24,2
2013-05-31,1.95
2013-06-07,1.6
2013-06-14,1.75
2013-06-21,1.8
2013-06-28,2.5
2013-07-05,1.88
2013-07-12,2
2013-07-22,2.02
2013-07-26,2.08
2013-08-02,2.1
2013-08-09,2.6
2013-08-16,2.7
2013-08-22,3
2013-08-23,4.55
2013-08-30,4.5
2013-09-06,4.3
2013-09-13,4.4
2013-09-20,4.55
2013-09-30,4.3
2013-10-02,4.1
2013-10-11,4.2
2013-10-17,3.95
2013-10-30,3.65
2013-10-31,3.6
2013-11-13,3.15
2013-11-15,3
2013-11-18,3.1
2013-11-22,3.15
2013-11-26,3.3
2013-11-29,3.45
2013-12-02,4.05
2013-12-06,4
2013-12-12,3.5
2013-12-16,3.45
2013-12-31,3.1
2014-01-08,3.15
2014-01-10,3.15
2014-01-20,3.3
2014-01-28,3.25
2014-02-04,3.2
2014-02-10,3.25
2014-02-18,3.35
2014-02-27,3.15
2014-03-24,3.07
2014-03-25,3.07
2014-03-26,3.07
2014-03-27,3.06
2014-03-31,3.1
2014-04-01,3.1
2014-04-08,3.07
2014-04-16,3.06
2014-04-23,3.05
2014-04-30,3
2014-05-07,3.08
2014-05-09,3.11
2014-05-15,3.16
2014-05-16,3.9
2014-05-19,4
2014-05-20,4.15
2014-05-22,4.1
2014-05-26,4.65
2014-05-27,5.2
2014-05-30,5.15
2014-06-02,4.8
2014-06-03,5
2014-06-04,4.85
2014-06-05,5.05
2014-06-06,4.92
2014-06-13,4.7
2014-06-16,4.35
2014-06-17,4.1
2014-06-18,4.2
2014-06-23,4.17
2014-06-24,4.15
2014-06-30,4.2
2014-07-02,4.17
2014-07-03,4.17
2014-07-10,4.15
2014-07-14,4.1
2014-07-18,4
2014-07-21,3.95
2014-07-28,3.95
2014-07-29,4
2014-08-11,3.95
2014-08-14,3.85
2014-08-15,3.85
2014-08-18,3.82
2014-08-21,3.8
2014-08-25,3.8
2014-08-27,3.9
2014-08-29,4.07
2014-09-01,4.25
2014-09-02,4.22
2014-09-03,4.35
2014-09-04,4.45
2014-09-05,4.35
2014-09-07,4.35
2014-09-08,4.35
2014-09-09,4.35
2014-09-10,4.5
2014-09-12,4.5
2014-09-15,4.47
2014-09-16,4.45
2014-09-17,4.45
2014-09-18,4.5
2014-09-19,4.45
2014-09-23,4.4
2014-09-30,4.4
2014-10-06,4.35
2014-10-13,4.4
2014-10-14,4.42
2014-10-20,4.32
2014-10-22,4.3
2014-10-29,4.37
2014-11-10,4.4
2014-11-21,4.3
2014-11-27,4.32
2014-11-28,4.55
2014-12-01,4.55
2014-12-03,4.85
2014-12-05,4.95
2014-12-15,5.4
2014-12-17,5.5
2015-01-20,6
2015-01-22,6
2015-01-28,5.95
2015-02-03,6.1
2015-02-12,4.4
2015-02-16,6.45
2015-02-27,5.85
2015-03-06,6.22
2015-03-13,6.45
2015-03-20,6.47
2015-03-27,6.6
2015-04-07,6.7
2015-04-10,6.52
2015-04-17,6.3
2015-04-24,6.07
2015-05-01,6.07
2015-05-08,5.95
2015-05-15,4.29
2015-05-22,5.15
2015-05-29,5.25
2015-06-05,5.4
2015-06-12,6.7
2015-06-19,4.67
2015-06-26,4.61
2015-07-03,6.87
2015-07-10,7.05
2015-07-17,7
2015-07-24,6.85
2015-07-31,6.85
2015-08-07,6.9
2015-08-14,6.92
2015-08-21,6.9
2015-08-28,6.75
2015-09-04,6.85
2015-09-11,6.7
2015-09-18,6.7
2015-09-25,6.57
2015-09-28,6.65
2015-10-02,6.75
2015-10-09,6.8
2015-10-16,6.9
2015-10-23,7.1
2015-10-30,7.1
2015-11-03,7.2
2015-11-06,7.25
2015-11-13,7.5
2015-11-20,7.7
2015-11-25,8.2
2015-11-27,8.32
2015-11-30,8.55
2015-12-04,8.55
2015-12-09,8.7
2015-12-11,8.9
2015-12-17,9.22
2015-12-18,9.4
2016-01-20,9.65
2016-01-21,9.6
2016-01-22,9.57
2016-01-25,9.6
2016-01-27,9.55
2016-01-28,9.5
2016-02-01,9.5
2016-02-03,9.52
2016-02-08,9.47
2016-02-11,9.3
2016-02-16,9.25
2016-02-17,9.35
2016-02-18,9.15
2016-03-04,10.05
2016-03-11,11
2016-03-23,11.05
2016-03-30,11.07
2016-04-01,11.05
2016-04-06,11.85
2016-04-08,12
2016-04-15,13.55
2016-04-22,13.15
2016-04-29,14.3
2016-05-06,14.65
2016-05-12,14.47
2016-05-19,14.05
2016-05-27,15
2016-06-03,15.75
2016-06-10,16.67
2016-06-14,17.05
2016-06-15,17.15
2016-06-16,17.25
2016-06-20,18.2
2016-06-24,18.05
2016-06-30,17.85
2016-07-04,17.7
2016-07-06,17.72
2016-07-07,18.05
2016-07-08,17.95
2016-07-12,17.95
2016-07-15,17.9
2016-07-19,17.95
2016-07-20,18.05
2016-07-22,18.15
2016-07-25,18.17
2016-07-26,18.1
2016-07-29,18.07
2016-08-02,18.05
2016-08-04,17.95
2016-08-11,17.5
2016-08-18,17.7
2016-08-22,17.97
2016-08-24,18
2016-08-26,18.07
2016-08-30,18.25
2016-09-07,18.8
2016-09-16,18.8
2016-09-23,18.85
2016-09-26,18.85
2016-09-30,18.82
2016-10-04,18.8
2016-10-05,18.75
2016-10-06,18.8
2016-10-13,18.87
2016-10-21,18.7
2016-10-28,18.6
2016-11-11,18.55
2016-11-17,18.2
2016-11-21,17.35
2016-11-22,17
2016-11-25,17.3
2016-12-02,17.7
2016-12-09,17.85
2016-12-16,17.4
2016-12-19,17
2016-12-21,17.05
2017-01-24,17.2
2017-01-26,17.12
2017-01-27,17.12
2017-01-31,16.9
2017-02-07,17.1
2017-02-09,17.2
2017-02-14,17.65
2017-02-22,18.07
2017-02-28,18.05
2017-03-02,17.8
2017-03-03,17.9
2017-03-10,17.85
2017-03-17,17.3
2017-03-24,17.2
2017-03-27,17.17
2017-03-31,17.2
2017-04-06,17.7
2017-04-13,17.4
2017-04-21,17.3
2017-04-28,17.15
2017-05-04,17.2
2017-05-12,17.1
2017-05-19,16.95
2017-05-25,16.75
2017-05-31,16.8
2017-06-02,16.77
2017-06-06,16.7
2017-06-09,16.57
2017-06-16,16.52
2017-06-22,16.5
2017-06-29,17.05
2017-06-30,17.1
2017-07-05,17.2
2017-07-10,17.35
2017-07-14,17.9
2017-07-18,17.85
2017-07-21,17.7
2017-07-31,17.85
2017-08-09,17.8
2017-08-15,17.72
2017-08-18,17.95
2017-08-21,17.95
2017-08-23,18
2017-08-25,18.02
2017-08-29,18.1
2017-08-31,18.2
2017-09-01,18.25
2017-09-04,18.35
2017-09-05,18.35
2017-09-06,18.4
2017-09-08,18.22
2017-09-13,18.3
2017-09-15,18.3
2017-09-19,18.3
2017-09-22,18.15
2017-09-25,18.2
2017-09-29,17.97
2017-10-03,17.95
2017-10-06,18.1
2017-10-13,18.4
2017-10-20,18.4
2017-10-27,18.95
2017-10-30,18.4
2017-10-31,19
2017-11-01,18.95
2017-11-02,18.95
2017-11-03,18.97
2017-11-06,19.15
2017-11-07,19.25
2017-11-08,19.29
2017-11-09,19.2
2017-11-10,19.25
2017-11-13,19.25
