"date","price","day"
2010-05-14,17.75,"Friday"
2010-05-17,17.64,"Monday"
2010-05-18,17.61,"Tuesday"
2010-05-19,17.57,"Wednesday"
2010-05-20,17.54,"Thursday"
2010-05-21,17.5,"Friday"
2010-05-24,17.5,"Monday"
2010-05-25,17.5,"Tuesday"
2010-05-26,17.5,"Wednesday"
2010-05-27,17.5,"Thursday"
2010-05-28,17.5,"Friday"
2010-05-31,17.42,"Monday"
2010-06-01,17.38,"Tuesday"
2010-06-02,17.35,"Wednesday"
2010-06-03,17.31,"Thursday"
2010-06-04,17.27,"Friday"
2010-06-07,17.15,"Monday"
2010-06-08,17.12,"Tuesday"
2010-06-09,17.08,"Wednesday"
2010-06-10,17.04,"Thursday"
2010-06-11,17,"Friday"
2010-06-14,17.16,"Monday"
2010-06-15,17.21,"Tuesday"
2010-06-16,17.27,"Wednesday"
2010-06-17,17.32,"Thursday"
2010-06-18,17.38,"Friday"
2010-06-21,17.54,"Monday"
2010-06-22,17.59,"Tuesday"
2010-06-23,17.64,"Wednesday"
2010-06-24,17.7,"Thursday"
2010-06-25,17.75,"Friday"
2010-06-28,17.6,"Monday"
2010-06-29,17.55,"Tuesday"
2010-06-30,17.5,"Wednesday"
2010-07-01,17.56,"Thursday"
2010-07-02,17.61,"Friday"
2010-07-05,17.78,"Monday"
2010-07-06,17.83,"Tuesday"
2010-07-07,17.89,"Wednesday"
2010-07-08,17.94,"Thursday"
2010-07-09,18,"Friday"
2010-07-12,18.13,"Monday"
2010-07-13,18.17,"Tuesday"
2010-07-14,18.21,"Wednesday"
2010-07-15,18.26,"Thursday"
2010-07-16,18.3,"Friday"
2010-07-19,18.31,"Monday"
2010-07-20,18.31,"Tuesday"
2010-07-21,18.31,"Wednesday"
2010-07-22,18.31,"Thursday"
2010-07-23,18.31,"Friday"
2010-07-26,18.32,"Monday"
2010-07-27,18.32,"Tuesday"
2010-07-28,18.32,"Wednesday"
2010-07-29,18.32,"Thursday"
2010-07-30,18.33,"Friday"
2010-08-02,18.33,"Monday"
2010-08-03,18.33,"Tuesday"
2010-08-04,18.33,"Wednesday"
2010-08-05,18.34,"Thursday"
2010-08-06,18.34,"Friday"
2010-08-09,18.34,"Monday"
2010-08-10,18.34,"Tuesday"
2010-08-11,18.35,"Wednesday"
2010-08-12,18.35,"Thursday"
2010-08-13,18.35,"Friday"
2010-08-16,18.45,"Monday"
2010-08-17,18.4,"Tuesday"
2010-08-18,18.35,"Wednesday"
2010-08-19,18.3,"Thursday"
2010-08-20,18.25,"Friday"
2010-08-23,18.47,"Monday"
2010-08-24,18.55,"Tuesday"
2010-08-25,18.62,"Wednesday"
2010-08-26,18.69,"Thursday"
2010-08-27,18.77,"Friday"
2010-08-30,18.99,"Monday"
2010-08-31,19.06,"Tuesday"
2010-09-01,19.14,"Wednesday"
2010-09-02,19.21,"Thursday"
2010-09-03,19.28,"Friday"
2010-09-06,19.5,"Monday"
2010-09-07,19.58,"Tuesday"
2010-09-08,19.65,"Wednesday"
2010-09-09,19.73,"Thursday"
2010-09-10,19.8,"Friday"
2010-09-13,20.1,"Monday"
2010-09-14,20.2,"Tuesday"
2010-09-15,20.3,"Wednesday"
2010-09-16,20.4,"Thursday"
2010-09-17,20.5,"Friday"
2010-09-20,20.29,"Monday"
2010-09-21,20.21,"Tuesday"
2010-09-22,20.14,"Wednesday"
2010-09-23,20.07,"Thursday"
2010-09-24,20,"Friday"
2010-09-27,19.89,"Monday"
2010-09-28,19.86,"Tuesday"
2010-09-29,19.82,"Wednesday"
2010-09-30,19.79,"Thursday"
2010-10-01,19.75,"Friday"
2010-10-04,19.43,"Monday"
2010-10-05,19.32,"Tuesday"
2010-10-06,19.21,"Wednesday"
2010-10-07,19.11,"Thursday"
2010-10-08,19,"Friday"
2010-10-11,19,"Monday"
2010-10-12,19,"Tuesday"
2010-10-13,19,"Wednesday"
2010-10-14,19,"Thursday"
2010-10-15,19,"Friday"
2010-10-18,20.31,"Monday"
2010-10-19,20.74,"Tuesday"
2010-10-20,21.18,"Wednesday"
2010-10-21,21.61,"Thursday"
2010-10-22,22.05,"Friday"
2010-10-25,21.17,"Monday"
2010-10-26,20.88,"Tuesday"
2010-10-27,20.59,"Wednesday"
2010-10-28,20.29,"Thursday"
2010-10-29,20,"Friday"
2010-11-01,20.09,"Monday"
2010-11-02,20.12,"Tuesday"
2010-11-03,20.15,"Wednesday"
2010-11-04,20.18,"Thursday"
2010-11-05,20.21,"Friday"
2010-11-08,20.3,"Monday"
2010-11-09,20.33,"Tuesday"
2010-11-10,20.36,"Wednesday"
2010-11-11,20.39,"Thursday"
2010-11-12,20.42,"Friday"
2010-11-15,20.5,"Monday"
2010-11-16,20.53,"Tuesday"
2010-11-17,20.56,"Wednesday"
2010-11-18,20.58,"Thursday"
2010-11-19,20.61,"Friday"
2010-11-22,20.69,"Monday"
2010-11-23,20.72,"Tuesday"
2010-11-24,20.75,"Wednesday"
2010-11-25,20.77,"Thursday"
2010-11-26,20.8,"Friday"
2010-11-29,20.83,"Monday"
2010-11-30,20.85,"Tuesday"
2010-12-01,20.86,"Wednesday"
2010-12-02,20.87,"Thursday"
2010-12-03,20.88,"Friday"
2010-12-06,20.67,"Monday"
2010-12-07,20.59,"Tuesday"
2010-12-08,20.52,"Wednesday"
2010-12-09,20.45,"Thursday"
2010-12-10,20.38,"Friday"
2010-12-13,20.22,"Monday"
2010-12-14,20.16,"Tuesday"
2010-12-15,20.11,"Wednesday"
2010-12-16,20.05,"Thursday"
2010-12-17,20,"Friday"
2010-12-20,19.92,"Monday"
2010-12-21,19.9,"Tuesday"
2010-12-22,19.87,"Wednesday"
2010-12-23,19.85,"Thursday"
2010-12-24,19.82,"Friday"
2010-12-27,19.74,"Monday"
2010-12-28,19.72,"Tuesday"
2010-12-29,19.69,"Wednesday"
2010-12-30,19.67,"Thursday"
2010-12-31,19.64,"Friday"
2011-01-03,19.56,"Monday"
2011-01-04,19.54,"Tuesday"
2011-01-05,19.51,"Wednesday"
2011-01-06,19.49,"Thursday"
2011-01-07,19.46,"Friday"
2011-01-10,19.38,"Monday"
2011-01-11,19.36,"Tuesday"
