"date","price"
2010-05-14,NA
2010-05-17,NA
2010-05-18,NA
2010-05-19,NA
2010-05-20,NA
2010-05-21,NA
2010-05-24,NA
2010-05-25,NA
2010-05-26,NA
2010-05-27,NA
2010-05-28,17.39
2010-05-31,17.36
2010-06-01,17.34
2010-06-02,17.33
2010-06-03,17.32
2010-06-04,17.31
2010-06-07,17.31
2010-06-08,17.31
2010-06-09,17.32
2010-06-10,17.33
2010-06-11,17.34
2010-06-14,17.35
2010-06-15,17.35
2010-06-16,17.36
2010-06-17,17.37
2010-06-18,17.38
2010-06-21,17.41
2010-06-22,17.44
2010-06-23,17.48
2010-06-24,17.52
2010-06-25,17.56
2010-06-28,17.62
2010-06-29,17.66
2010-06-30,17.71
2010-07-01,17.76
2010-07-02,17.81
2010-07-05,17.85
2010-07-06,17.89
2010-07-07,17.92
2010-07-08,17.95
2010-07-09,17.98
2010-07-12,18.01
2010-07-13,18.04
2010-07-14,18.08
2010-07-15,18.12
2010-07-16,18.16
2010-07-19,18.19
2010-07-20,18.22
2010-07-21,18.24
2010-07-22,18.26
2010-07-23,18.28
2010-07-26,18.3
2010-07-27,18.31
2010-07-28,18.32
2010-07-29,18.32
2010-07-30,18.33
2010-08-02,18.33
2010-08-03,18.34
2010-08-04,18.34
2010-08-05,18.34
2010-08-06,18.34
2010-08-09,18.34
2010-08-10,18.36
2010-08-11,18.37
2010-08-12,18.39
2010-08-13,18.41
2010-08-16,18.44
2010-08-17,18.47
2010-08-18,18.51
2010-08-19,18.56
2010-08-20,18.6
2010-08-23,18.66
2010-08-24,18.71
2010-08-25,18.78
2010-08-26,18.84
2010-08-27,18.91
2010-08-30,18.99
2010-08-31,19.08
2010-09-01,19.17
2010-09-02,19.27
2010-09-03,19.37
2010-09-06,19.47
2010-09-07,19.55
2010-09-08,19.63
2010-09-09,19.7
2010-09-10,19.76
2010-09-13,19.81
2010-09-14,19.85
2010-09-15,19.89
2010-09-16,19.92
2010-09-17,19.95
2010-09-20,19.95
2010-09-21,19.94
2010-09-22,19.93
2010-09-23,19.9
2010-09-24,19.87
2010-09-27,19.83
2010-09-28,19.78
2010-09-29,19.72
2010-09-30,19.66
2010-10-01,19.59
2010-10-04,19.58
2010-10-05,19.6
2010-10-06,19.65
2010-10-07,19.72
2010-10-08,19.81
2010-10-11,19.87
2010-10-12,19.92
2010-10-13,19.95
2010-10-14,19.97
2010-10-15,19.98
2010-10-18,20
2010-10-19,20.03
2010-10-20,20.07
2010-10-21,20.12
2010-10-22,20.17
2010-10-25,20.23
2010-10-26,20.3
2010-10-27,20.36
2010-10-28,20.43
2010-10-29,20.49
2010-11-01,20.57
2010-11-02,20.58
2010-11-03,20.57
2010-11-04,20.54
2010-11-05,20.49
2010-11-08,20.43
2010-11-09,20.4
2010-11-10,20.4
2010-11-11,20.41
2010-11-12,20.43
2010-11-15,20.47
2010-11-16,20.51
2010-11-17,20.54
2010-11-18,20.58
2010-11-19,20.61
2010-11-22,20.63
2010-11-23,20.65
2010-11-24,20.65
2010-11-25,20.66
2010-11-26,20.66
2010-11-29,20.65
2010-11-30,20.63
2010-12-01,20.61
2010-12-02,20.59
2010-12-03,20.56
2010-12-06,20.53
2010-12-07,20.49
2010-12-08,20.45
2010-12-09,20.41
2010-12-10,20.36
2010-12-13,20.31
2010-12-14,20.26
2010-12-15,20.2
2010-12-16,20.15
2010-12-17,20.09
2010-12-20,20.03
2010-12-21,19.97
2010-12-22,19.92
2010-12-23,19.87
2010-12-24,19.82
2010-12-27,19.78
2010-12-28,19.74
2010-12-29,19.7
2010-12-30,19.66
2010-12-31,19.62
2011-01-03,19.58
2011-01-04,19.55
2011-01-05,19.51
2011-01-06,19.48
2011-01-07,19.44
2011-01-10,19.41
2011-01-11,19.38
2011-01-12,19.36
2011-01-13,19.34
2011-01-14,19.32
2011-01-17,19.3
2011-01-18,19.29
2011-01-19,19.28
2011-01-20,19.27
2011-01-21,19.25
2011-01-24,19.24
2011-01-25,19.24
2011-01-26,19.23
