"date","price","week"
2010-05-10,17.75,"2010-W19"
2010-05-17,17.5,"2010-W20"
2010-05-24,17.5,"2010-W21"
2010-06-07,17,"2010-W23"
2010-06-21,17.75,"2010-W25"
2010-06-28,17.5,"2010-W26"
2010-07-05,18,"2010-W27"
2010-07-12,18.3,"2010-W28"
2010-08-09,18.35,"2010-W32"
2010-08-16,18.35,"2010-W33"
2010-09-06,19.8,"2010-W36"
2010-09-13,20.5,"2010-W37"
2010-09-20,20,"2010-W38"
2010-09-27,19.75,"2010-W39"
2010-10-04,19,"2010-W40"
2010-10-11,19,"2010-W41"
2010-10-18,22.05,"2010-W42"
2010-10-25,20,"2010-W43"
2010-11-08,20.42,"2010-W45"
2010-11-22,20.8,"2010-W47"
2010-11-29,20.88,"2010-W48"
2010-12-06,20.38,"2010-W49"
2010-12-13,20,"2010-W50"
2011-01-17,19.1,"2011-W03"
2011-01-24,19.3,"2011-W04"
2011-01-31,19.25,"2011-W05"
2011-02-07,19.2,"2011-W06"
2011-02-14,19.25,"2011-W07"
2011-02-21,19.6,"2011-W08"
2011-02-28,19.6,"2011-W09"
2011-03-07,20.3,"2011-W10"
2011-03-14,20.8,"2011-W11"
2011-03-21,20.5,"2011-W12"
2011-03-28,20.2,"2011-W13"
2011-04-04,20.22,"2011-W14"
2011-04-25,20.1,"2011-W17"
2011-05-23,19.99,"2011-W21"
2011-06-06,19.75,"2011-W23"
2011-06-13,19.3,"2011-W24"
2011-06-20,18,"2011-W25"
2011-06-27,18,"2011-W26"
2011-07-04,18,"2011-W27"
2011-07-11,17.25,"2011-W28"
2011-07-18,16.3,"2011-W29"
2011-07-25,15.8,"2011-W30"
2011-08-01,13.8,"2011-W31"
2011-08-08,14,"2011-W32"
2011-08-15,15,"2011-W33"
2011-08-22,16.35,"2011-W34"
2011-08-29,15.5,"2011-W35"
2011-09-05,15,"2011-W36"
2011-09-12,15,"2011-W37"
2011-09-19,14.73,"2011-W38"
2011-09-26,14.3,"2011-W39"
2011-10-24,13.5,"2011-W43"
2011-10-31,13.155,"2011-W44"
2011-11-07,13,"2011-W45"
2011-11-14,13,"2011-W46"
2011-11-21,12.1,"2011-W47"
2011-11-28,11.8333333333333,"2011-W48"
2011-12-05,9.5,"2011-W49"
2011-12-12,8.3,"2011-W50"
2012-01-16,7,"2012-W03"
2012-01-30,7.65,"2012-W05"
